header,class,mechanism,group
1201256|1202383|-|predicted_integrase,Mobile Genetic Element,Integrase,NotComplete
1960494|1961162|+|predicted_integrase,Mobile Genetic Element,Integrase,NotComplete
267096|268259|-|predicted_integrase,Mobile Genetic Element,Integrase,NotComplete
1059760|1060779|-|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
1060606|1061289|+|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
1998117|1999247|+|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
2286063|2287766|+|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
2439163|2440449|+|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
2580933|2582048|+|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
2659694|2660872|-|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
330432|331490|+|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
3504839|3506464|-|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
3656440|3657615|+|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
4029860|4031125|+|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
850511|851587|-|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
961501|962496|-|putative_integrase,Mobile Genetic Element,Integrase,NotComplete
1784727|1784933|-|putative_integrase__pseudogene_,Mobile Genetic Element,Integrase,NotComplete
2033246|2034163|+|integrase_family_protein,Mobile Genetic Element,Integrase,NotComplete
37496|38116|+|integrase_family_protein,Mobile Genetic Element,Integrase,NotComplete
4533791|4534639|-|integrase_family_protein,Mobile Genetic Element,Integrase,NotComplete
5953527|5954807|+|integrase_family_protein,Mobile Genetic Element,Integrase,NotComplete
1419255|1420511|+|integrase-like_protein,Mobile Genetic Element,Integrase,NotComplete
3058163|3059809|-|possible_integrase,Mobile Genetic Element,Integrase,NotComplete
1263|1994|-|site-specific_integrase,Mobile Genetic Element,Integrase,NotComplete
1855513|1856670|+|site-specific_integrase,Mobile Genetic Element,Integrase,NotComplete
21156|22679|+|site-specific_integrase,Mobile Genetic Element,Integrase,NotComplete
2117047|2118237|-|site-specific_integrase,Mobile Genetic Element,Integrase,NotComplete
2505864|2507159|-|site-specific_integrase,Mobile Genetic Element,Integrase,NotComplete
2925826|2927064|-|site-specific_integrase,Mobile Genetic Element,Integrase,NotComplete
3114761|3116020|-|site-specific_integrase,Mobile Genetic Element,Integrase,NotComplete
3702879|3704195|+|site-specific_integrase,Mobile Genetic Element,Integrase,NotComplete
4864111|4865208|+|site-specific_integrase,Mobile Genetic Element,Integrase,NotComplete
1552878|1554071|-|putative_transposon_integrase,Mobile Genetic Element,Integrase,NotComplete
4916583|4917041|+|putative_truncated_integrase,Mobile Genetic Element,Integrase,NotComplete
4917002|4917604|+|putative_truncated_integrase,Mobile Genetic Element,Integrase,NotComplete
179188|180093|+|Integrase__catalytic_core,Mobile Genetic Element,Integrase,NotComplete
990678|991019|-|Integrase__catalytic_region,Mobile Genetic Element,Integrase,NotComplete
1661478|1662311|+|Integrase_catalytic_region,Mobile Genetic Element,Integrase,NotComplete
1854553|1855602|+|Integrase_catalytic_region,Mobile Genetic Element,Integrase,NotComplete
2196495|2197364|-|Integrase_catalytic_region,Mobile Genetic Element,Integrase,NotComplete
2755794|2756603|+|Integrase_catalytic_region,Mobile Genetic Element,Integrase,NotComplete
3856361|3857242|-|integrase_catalytic_region,Mobile Genetic Element,Integrase,NotComplete
1431712|1431861|+|integrase_catalytic_subunit,Mobile Genetic Element,Integrase,NotComplete
2473286|2474626|+|integrase_catalytic_subunit,Mobile Genetic Element,Integrase,NotComplete
668|1114|+|integrase_catalytic_subunit,Mobile Genetic Element,Integrase,NotComplete
93812|93931|-|integrase_catalytic_subunit,Mobile Genetic Element,Integrase,NotComplete
156392|157414|+|Integrase_core_domain_protein,Mobile Genetic Element,Integrase,NotComplete
2203479|2203706|+|integrase_core_domain_protein,Mobile Genetic Element,Integrase,NotComplete
242876|244249|+|integrase_core_domain_protein,Mobile Genetic Element,Integrase,NotComplete
2562|3476|-|integrase_core_domain_protein,Mobile Genetic Element,Integrase,NotComplete
287081|288547|+|integrase_core_domain_protein,Mobile Genetic Element,Integrase,NotComplete
3177996|3179078|+|integrase_core_domain_protein,Mobile Genetic Element,Integrase,NotComplete
427672|428700|+|integrase_core_domain_protein,Mobile Genetic Element,Integrase,NotComplete
435105|435869|-|integrase_core_domain_protein,Mobile Genetic Element,Integrase,NotComplete
813536|815044|+|integrase_core_domain_protein,Mobile Genetic Element,Integrase,NotComplete
869953|870855|-|Integrase_core_domain_protein,Mobile Genetic Element,Integrase,NotComplete
2789624|2790877|-|Putative_integrase_recombinase_y4rA,Mobile Genetic Element,Integrase recombinase,Y4RA
836246|837139|+|integrase_recombinase,Mobile Genetic Element,Integrase recombinase,NotComplete
97790|98981|+|integrase_recombinase,Mobile Genetic Element,Integrase recombinase,NotComplete
6529|7152|+|putative_integrase_recombinase,Mobile Genetic Element,Integrase recombinase,NotComplete
700231|701208|+|putative_integrase_recombinase,Mobile Genetic Element,Integrase recombinase,NotComplete
4088025|4088927|+|putative_integrase_recombinase__site-specific,Mobile Genetic Element,Integrase recombinase,NotComplete
1006175|1007563|+|site-specific_integrase_recombinase_protein,Mobile Genetic Element,Integrase-recombinase ,NotComplete
947147|948514|-|site-specific_integrase_recombinase_protein,Mobile Genetic Element,Integrase-recombinase ,NotComplete
1102615|1102989|-|iron-sulfur_cluster_insertion_protein_ErpA,Mobile Genetic Element,Iron-sulfur cluster insertion protein,ERPA
1228927|1229283|+|Iron-sulfur_cluster_insertion_protein_erpA,Mobile Genetic Element,Iron-sulfur cluster insertion protein,ERPA
3404691|3405059|+|iron-sulfur_cluster_insertion_protein_ErpA,Mobile Genetic Element,Iron-sulfur cluster insertion protein,ERPA
3518523|3518873|-|iron-sulfur_cluster_insertion_protein_ErpA,Mobile Genetic Element,Iron-sulfur cluster insertion protein,ERPA
3831911|3833068|-|Iron-sulfur_cluster_insertion_protein_ErpA,Mobile Genetic Element,Iron-sulfur cluster insertion protein,ERPA
417384|417734|+|iron-sulfur_cluster_insertion_protein_ErpA,Mobile Genetic Element,Iron-sulfur cluster insertion protein,ERPA
5209919|5210296|-|iron-sulfur_cluster_insertion_protein_ErpA,Mobile Genetic Element,Iron-sulfur cluster insertion protein,ERPA
1028391|1028741|-|putative_iron-sulfur_cluster_insertion_protein_ErpA,Mobile Genetic Element,Iron-sulfur cluster insertion protein,ERPA
2234188|2234448|+|membrane_protein_insertion_efficiency_factor_YidD,Mobile Genetic Element,Membrane protein insertion factor,YIDD
3153127|3153336|+|membrane_protein_insertion_efficiency_factor_YidD,Mobile Genetic Element,Membrane protein insertion factor,YIDD
5128935|5129192|-|membrane_protein_insertion_efficiency_factor_YidD,Mobile Genetic Element,Membrane protein insertion factor,YIDD
764321|764614|+|membrane_protein_insertion_efficiency_factor_YidD,Mobile Genetic Element,Membrane protein insertion factor,YIDD
132819|133160|-|hydrogenase_nickel_insertion_protein_HypA,Mobile Genetic Element,Nickel hydrogenase insertion protein,HYPA
3804976|3805317|+|hydrogenase_nickel_insertion_protein_HypA,Mobile Genetic Element,Nickel hydrogenase insertion protein,HYPA
4150606|4150956|-|hydrogenase_nickel_insertion_protein_HypA,Mobile Genetic Element,Nickel hydrogenase insertion protein,HYPA
3272576|3273697|-|Queuine_tRNA-ribosyltransferase__tRNA-guanine_transglycosylase___Guanine_insertion_enzyme_,Mobile Genetic Element,Queuine tRNA-ribosyltransferase,NotComplete
3751|5601|+|MobA_relaxase,Mobile Genetic Element,Relaxase,MOBA
59203|61923|+|relaxase_NikB,Mobile Genetic Element,Relaxase,NIKB
1506482|1508101|-|relaxase,Mobile Genetic Element,Relaxase,NotComplete
2486033|2487748|+|Relaxase,Mobile Genetic Element,Relaxase,NotComplete
27013|30231|-|relaxase,Mobile Genetic Element,Relaxase,NotComplete
32397|32693|+|relaxase,Mobile Genetic Element,Relaxase,NotComplete
3309918|3311765|+|relaxase,Mobile Genetic Element,Relaxase,NotComplete
4741926|4743161|+|relaxase,Mobile Genetic Element,Relaxase,NotComplete
4745539|4747011|-|relaxase,Mobile Genetic Element,Relaxase,NotComplete
5133127|5134977|-|Relaxase,Mobile Genetic Element,Relaxase,NotComplete
66147|66329|-|relaxase,Mobile Genetic Element,Relaxase,NotComplete
33577|34743|+|relaxase_mobilization_nuclease_domain_family_protein,Mobile Genetic Element,Relaxase mobilization nuclease,NotComplete
69603|71657|-|relaxase_mobilization_nuclease_domain_family_protein,Mobile Genetic Element,Relaxase mobilization nuclease,NotComplete
190979|192268|-|relaxase_mobilization_nuclease_domain_protein,Mobile Genetic Element,Relaxase mobilization nuclease,NotComplete
220338|221753|-|relaxase_mobilization_nuclease_domain_protein,Mobile Genetic Element,Relaxase mobilization nuclease,NotComplete
37768|39300|+|relaxase_mobilization_nuclease_domain_protein,Mobile Genetic Element,Relaxase mobilization nuclease,NotComplete
83689|86391|-|relaxase_mobilization_nuclease_domain_protein,Mobile Genetic Element,Relaxase mobilization nuclease,NotComplete
132740|132895|+|Relaxase__helicase,Mobile Genetic Element,Relaxase-helicase,NotComplete
2981|3595|-|transposon_Tn1721_resolvase,Mobile Genetic Element,Resolvase,TN1721
4525|4938|+|transposon_Tn21_resolvase,Mobile Genetic Element,Resolvase,TN21
11538|12140|+|Transposon_Tn3_resolvase,Mobile Genetic Element,Resolvase,TN3
3909273|3910844|-|Transposon_gamma-delta_resolvase,Mobile Genetic Element,Resolvase,NotComplete
3911262|3912824|-|Transposon_gamma-delta_resolvase,Mobile Genetic Element,Resolvase,NotComplete
93196|93894|-|Resolvase_integrase_Bin,Mobile Genetic Element,Resolvase-integrase,BIN
207072|207695|-|Resolvase_Integrase_TinR_protein,Mobile Genetic Element,Resolvase-integrase,TINR
1242|1300|+|Selenocysteine_insertion_sequence_3,Mobile Genetic Element,Selenocysteine insertion sequence,NotComplete
156389|157393|+|ransposase_InsD2_for_insertion_sequence_IS4321L,Mobile Genetic Element,Transposase,INSD2
4857325|4858710|-|insertion_sequence_transposase_protein,Mobile Genetic Element,Transposase,NotComplete
2785125|2786372|-|transposase_for_insertion_sequence_element_IS1081,Mobile Genetic Element,Transposase ,IS1081
1200748|1201677|-|probable_transposase_for_insertion-like_sequence_element_IS1161,Mobile Genetic Element,Transposase ,IS1161
2187918|2188880|+|probable_transposase_for_insertion-like_sequence_element_IS1161,Mobile Genetic Element,Transposase ,IS1161
2322440|2323369|+|probable_transposase_for_insertion-like_sequence_element_IS1161,Mobile Genetic Element,Transposase ,IS1161
1241080|1242105|+|Transposase_for_insertion_sequences_IS1326_IS1353,Mobile Genetic Element,Transposase ,IS1353
1466745|1468079|-|transposase_for_insertion_sequence_elementIS1557,Mobile Genetic Element,Transposase ,IS1557
12479|13651|-|transposase_for_insertion_sequence_IS256,Mobile Genetic Element,Transposase ,IS256
110110|110280|-|transposase_insC_for_insertion_element_IS2D,Mobile Genetic Element,Transposase ,IS2D
1595414|1596439|-|Transposase_InsI_for_insertion_sequence_element_IS30A,Mobile Genetic Element,Transposase ,IS30A
1104146|1105354|+|transposase_InsQ_for_insertion_sequence_element_IS609,Mobile Genetic Element,Transposase ,IS609
2063832|2064167|+|putative_transposase_TnpA_of_insertion_sequence_IS609,Mobile Genetic Element,Transposase ,IS609
649642|650532|-|transposase_for_insertion_sequence_element_IS982B,Mobile Genetic Element,Transposase ,IS982B
2308|5277|+|transposase_for_transposon_Tn21,Mobile Genetic Element,Transposase ,TN21
1131244|1132110|-|transposase_for_insertion_sequence,Mobile Genetic Element,Transposase ,NotComplete
1602610|1602837|-|transposase_for_insertion_sequence,Mobile Genetic Element,Transposase ,NotComplete
1153542|1154780|+|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
2015871|2016215|-|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
2016263|2016631|-|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
2026824|2027171|+|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
2027233|2028771|+|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
2208004|2208459|-|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
2338428|2339108|-|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
2419426|2419752|+|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
2419749|2420654|+|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
3135298|3135594|+|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
3135591|3136481|+|putative_transposase_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
942734|943243|-|transposase_for_the_IS1541_insertion_element,Mobile Genetic Element,Transposase ,NotComplete
34082|37048|-|transposase_for_transposon,Mobile Genetic Element,Transposase ,NotComplete
51023|53203|+|transposase_for_transposon_gamma-delta,Mobile Genetic Element,Transposase ,NotComplete
47899|48720|-|Transposase_of_Tn5393-like_transposon__N-terminal_fragment,Mobile Genetic Element,Transposase ,NotComplete
2332437|2333240|-|putative_transposase_orfB_for_insertion_sequence_element,Mobile Genetic Element,Transposase ,NotComplete
1634585|1635439|-|Transposase-like_protein_Integrase_core_domain,Mobile Genetic Element,Transposase ,NotComplete
600321|600431|-|ISSsa1_transposon_OrfA,Mobile Genetic Element,Transposon,ORFA
50983|51360|-|Transposon_Tn10_TetD_protein,Mobile Genetic Element,Transposon,TETD
16398|17006|+|transposon_modulator_protein_TnpM,Mobile Genetic Element,Transposon,TNPM
976975|977400|+|putativer_phage_lysis_protein,Phage-related,Phage-related lysis protein,NotComplete
3748309|3748461|-|attP_region_and_P4int_integrase,Phage-related,P4-type integrase,NotComplete
7480|7986|+|3-phosphatase__5-polynucleotide_kinase_phage-associated_protein,Phage-related,Phage-related 3'-phosphatase 5'-polynucleotide kinase,NotComplete
1330857|1332191|-|integrase_for_bacteriophage_BP-933W,Phage-related,Phage-related integrase,BP-933W
1217473|1218723|+|integrase_of_prophage,Phage-related,Phage-related integrase,NotComplete
1462601|1462987|+|putative_cI-like_repressor__metallo-prtoeinase_motif-phage-associated__Putative_uncharacterized_protein_SPs0513_,Phage-related,Phage-related metallo-prtoeinase,NotComplete
4542414|4543418|+|HflC__with_HflK__part_of_modulator_for_protease_specific_for_FtsH_phage_lambda_cII_repressor,Phage-related,Phage-related protease,"HFLC, HFLK"
1455999|1456361|-|Abort_lactococcal_phage_infection_AbiTii,Phage-related,Abortive phage infection protein,ABITII
6765|7646|+|Abort_lactococcal_phage_infection_AbiTii,Phage-related,Abortive phage infection protein,ABITII
1720191|1721549|+|abortive_phage_infection_protein,Phage-related,Abortive phage infection protein,NotComplete
3100205|3101167|-|abortive_phage_infection_protein,Phage-related,Abortive phage infection protein,NotComplete
791059|791145|-|abortive_phage_infection_protein,Phage-related,Abortive phage infection protein,NotComplete
4417032|4417703|-|Class_II_phage_holin,Phage-related,Class II holin,NotComplete
3425737|3427035|+|P4-type_integrase,Phage-related,P4-type integrase,NotComplete
4001336|4002526|+|Phage_integrase__Phage_P4-associated,Phage-related,P4-type integrase,NotComplete
1163629|1164267|-|Phage_P4-associated_Phage_integrase,Phage-related,P4-type integrase,NotComplete
1421170|1421832|-|putative_adenine_methylase_from_phage_origin,Phage-related,Phage-related adenine methylase,NotComplete
663508|665745|-|phage_N4_adsorption_protein_B,Phage-related,Phage-related adsorption protein,B
3467894|3470035|+|ferrichrome___phage___antibiotic_outer_membrane_porin_FhuA,Phage-related,Phage-related antibiotic outer membrane porin,FHUA
117218|117376|-|phage_antirepressor_Ant,Phage-related,Phage-related antirepressor protein,ANT
1550864|1551754|+|phage_antirepressor_Ant,Phage-related,Phage-related antirepressor protein,ANT
29540|30655|+|phage_antirepressor_Ant,Phage-related,Phage-related antirepressor protein,ANT
3711|4754|+|phage_antirepressor_Ant,Phage-related,Phage-related antirepressor protein,ANT
5089407|5090045|-|phage_antirepressor_Ant,Phage-related,Phage-related antirepressor protein,ANT
3944707|3945498|-|Phage_antirepressor_protein_KilAC_domain_protein,Phage-related,Phage-related antirepressor protein,KILAC
292649|293482|+|phage_anti-repressor_protein,Phage-related,Phage-related antirepressor protein,NotComplete
1454254|1454511|-|putative_phage_anti-repressor_protein,Phage-related,Phage-related antirepressor protein,NotComplete
1236739|1237512|-|putative_phage_antirepressor,Phage-related,Phage-related antirepressor protein,NotComplete
4878237|4878722|+|phage_antirestriction_protein,Phage-related,Phage-related antirestriction protein,NotComplete
1668809|1670593|+|Phage_antitermination_protein_Q,Phage-related,Phage-related antitermination protein,Q
2000980|2002038|-|Phage_antitermination_protein_Q,Phage-related,Phage-related antitermination protein,Q
88098|88484|-|phage_antitermination_Q_type_1_family,Phage-related,Phage-related antitermination protein,Q
758414|758578|-|enterobacteria_phage_lambda__antitermination_protein,Phage-related,Phage-related antitermination protein,NotComplete
1157109|1157492|+|putative_phage_antitermination_protein,Phage-related,Phage-related antitermination protein,NotComplete
1769737|1770426|-|putative_phage_antitermination_protein,Phage-related,Phage-related antitermination protein,NotComplete
1840978|1841793|-|putative_phage_antitermination_protein,Phage-related,Phage-related antitermination protein,NotComplete
4245355|4245630|+|ATP-binding_sugar_transporter_from_pro-phage_family_protein,Phage-related,Phage-related ATP-binding transporter,NotComplete
1383733|1384314|-|phage_baseplate_assembly_protein_V,Phage-related,Phage-related baseplate protein,V
4048109|4048657|-|phage_baseplate_assembly_protein_V,Phage-related,Phage-related baseplate protein,V
4240376|4240969|+|phage_baseplate_assembly_protein_V,Phage-related,Phage-related baseplate protein,V
2445417|2446052|-|phage_baseplate_assembly_protein,Phage-related,Phage-related baseplate protein,NotComplete
2444160|2445068|-|phage-related_baseplate_assembly_protein,Phage-related,Phage-related baseplate protein,NotComplete
2208844|2209740|+|putative_phage_baseplate_assembly_protein,Phage-related,Phage-related baseplate protein,NotComplete
23130|23480|+|putative_phage_baseplate_assembly_protein,Phage-related,Phage-related baseplate protein,NotComplete
4074680|4075738|-|phage_baseplate_protein,Phage-related,Phage-related baseplate protein,NotComplete
5196645|5196992|-|phage_baseplate_protein,Phage-related,Phage-related baseplate protein,NotComplete
4358541|4358900|-|putative_phage_baseplate_protein,Phage-related,Phage-related baseplate protein,NotComplete
3682242|3682697|-|Phage_capsid_and_scaffold,Phage-related,Phage-related capsid and scaffold protein,NotComplete
4006618|4007352|-|Phage_capsid_and_scaffold_protein,Phage-related,Phage-related capsid and scaffold protein,NotComplete
2452333|2453232|-|phage_capsid_scaffolding_protein,Phage-related,Phage-related capsid and scaffold protein,NotComplete
3956027|3957082|+|phage_major_capsid_protein_E,Phage-related,Phage-related capsid protein,E
1165727|1167232|+|putative_phage_capsid_assembly_protein,Phage-related,Phage-related capsid protein,NotComplete
3926462|3927661|-|Phage_capsid_family_protein,Phage-related,Phage-related capsid protein,NotComplete
1391286|1392122|-|phage_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
1421356|1422381|-|phage_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
1537298|1538182|-|phage_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
3181943|3183160|-|phage_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
322957|323496|-|phage_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
3681550|3682239|-|Phage_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
634652|635995|+|phage_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
748099|749619|+|phage_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
90725|91600|+|phage_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
1167269|1167616|+|putative_phage_head_decoration_protein,Phage-related,Phage-related capsid protein,NotComplete
2140549|2141868|-|putative_phage_capsid_structural_protein,Phage-related,Phage-related capsid protein,NotComplete
1821111|1822340|-|phage_major_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
2139126|2140151|-|phage_major_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
2140207|2140539|-|phage_major_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
2163355|2165121|+|phage_major_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
2628219|2629481|-|phage_major_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
3024865|3026022|-|phage_major_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
5072723|5073928|+|phage_major_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
423368|424573|+|phage_major_capsid_protein__HK97_family,Phage-related,Phage-related capsid protein,NotComplete
2820589|2821617|-|phage_major_capsid_protein__P2_family,Phage-related,Phage-related capsid protein,NotComplete
3005208|3006260|-|phage_major_capsid_protein__P2_family,Phage-related,Phage-related capsid protein,NotComplete
2451201|2452274|-|phage_major_capsid_protein_precursor,Phage-related,Phage-related capsid protein,NotComplete
1218425|1219609|-|phage_major_head_protein,Phage-related,Phage-related capsid protein,NotComplete
1167674|1168702|+|putative_phage_major_capsid_protein,Phage-related,Phage-related capsid protein,NotComplete
2676958|2677875|-|putative_phage_major_head_subunit,Phage-related,Phage-related capsid protein,NotComplete
1105635|1105943|+|partial_putative_phage_inhibition__colicin_resistance_and_tellurite_resistance_protein,Phage-related,Phage-related colicin and tellurite resistance protein,NotComplete
1101244|1102401|+|putative_phage_inhibition__colicin_resistance_and_tellurite_resistance_protein,Phage-related,Phage-related colicin and tellurite resistance protein,NotComplete
1102424|1102879|+|putative_phage_inhibition__colicin_resistance_and_tellurite_resistance_protein,Phage-related,Phage-related colicin and tellurite resistance protein,NotComplete
1102902|1103942|+|putative_phage_inhibition__colicin_resistance_and_tellurite_resistance_protein,Phage-related,Phage-related colicin and tellurite resistance protein,NotComplete
1104638|1105213|+|putative_phage_inhibition__colicin_resistance_and_tellurite_resistance_protein,Phage-related,Phage-related colicin and tellurite resistance protein,NotComplete
231593|232783|+|putative_phage_inhibition__colicin_resistance_and_tellurite_resistance_protein,Phage-related,Phage-related colicin and tellurite resistance protein,NotComplete
4690849|4691172|+|phage_DNA_binding_protein,Phage-related,Phage-related DNA binding protein,NotComplete
2493023|2493250|+|putative_DNA_binding_protein_from_phage_origin,Phage-related,Phage-related DNA binding protein,NotComplete
2669282|2670769|-|phage_DNA_circulation_protein,Phage-related,Phage-related DNA circulation protein,NotComplete
3697761|3697937|-|Phage_replicative_DNA_helicase,Phage-related,Phage-related DNA helicase,NotComplete
128213|128764|+|Phage_DNA_invertase,Phage-related,Phage-related DNA invertase,NotComplete
131901|132440|+|Phage_DNA_invertase,Phage-related,Phage-related DNA invertase,NotComplete
2150067|2151113|-|putative_phage_DNA_methylase,Phage-related,Phage-related DNA methylase,NotComplete
1499594|1500385|+|phage_DNA_methylase_nuclease,Phage-related,Phage-related DNA methylase nuclease,NotComplete
2660386|2661111|-|phage_DNA_modification_protein,Phage-related,Phage-related DNA modification protein,NotComplete
2363228|2363710|-|phage_DNA_packaging_Nu1_family_protein,Phage-related,Phage-related DNA packaging protein,NU1
67731|68276|+|phage_DNA_packaging_protein_Nu1,Phage-related,Phage-related DNA packaging protein,NU1
1218037|1218405|-|phage_DNA_packaging_protein,Phage-related,Phage-related DNA packaging protein,NotComplete
1162030|1163958|+|putative_phage_DNA_packaging_protein,Phage-related,Phage-related DNA packaging protein,NotComplete
1764555|1765166|-|putative_phage_DNA_packaging_protein,Phage-related,Phage-related DNA packaging protein,NotComplete
741188|742579|+|phage_DNA_primase,Phage-related,Phage-related DNA primase,NotComplete
2889894|2892185|-|putative_DNA_primase__P4_family__Phage_related_,Phage-related,Phage-related DNA primase,NotComplete
163975|165207|+|putative_phage_DNA_primase,Phage-related,Phage-related DNA primase,NotComplete
931665|931946|+|DNA_primase__phage-associated,Phage-related,Phage-related DNA primase  ,NotComplete
1247843|1248313|+|putative_phage_DNA_repair_protein,Phage-related,Phage-related DNA repair protein,NotComplete
319674|320573|+|phage_DNA_replication_protein_O,Phage-related,Phage-related DNA replication protein,O
4009621|4009941|+|DNA_replication_protein__phage-associated,Phage-related,Phage-related DNA replication protein,NotComplete
761459|762358|+|enterobacteria_phage_lambda__DNA_replication_protein,Phage-related,Phage-related DNA replication protein,NotComplete
1457848|1458174|-|phage_DNA_replication_protein,Phage-related,Phage-related DNA replication protein,NotComplete
1485222|1485968|+|putative_phage_DNA_replication_protein,Phage-related,Phage-related DNA replication protein,NotComplete
1870384|1870776|+|Phage_DNA_stabilization_protein,Phage-related,Phage-related DNA stabilization protein,NotComplete
300656|301333|+|phage_DNA_transfer_protein,Phage-related,Phage-related DNA transfer protein,NotComplete
302754|304859|+|phage_DNA_transfer_protein,Phage-related,Phage-related DNA transfer protein,NotComplete
2692611|2693549|-|putative_phage_DNA_transposition_protein,Phage-related,Phage-related DNA transposition protein,NotComplete
2631535|2632047|-|single-strand_DNA-binding_protein_of_phage_phi_PVL,Phage-related,Phage-related DNA-binding protein,PVL
26544|27158|-|TniR_transposon_DNA-invertase,Phage-related,Phage-related DNA-invertase,TNIR
1168754|1169128|+|putative_phage_DNA-packaging_protein,Phage-related,Phage-related DNA-packaging protein,NotComplete
2108949|2109173|-|truncated_phage_dUTPase,Phage-related,Phage-related dUTPase,NotComplete
624213|624575|+|phage_endodeoxyribonuclease,Phage-related,Phage-related endodeoxyribonuclease,NotComplete
1770423|1770788|-|putative_phage_crossover_junction_endodeoxyribonuclease,Phage-related,Phage-related endodeoxyribonuclease,NotComplete
765460|765936|+|enterobacteria_phage_lambda__endolysin,Phage-related,Phage-related endolysin,NotComplete
1766352|1766729|-|putative_phage_endolysin,Phage-related,Phage-related endolysin,NotComplete
1946290|1946682|+|putative_phage_endolysin,Phage-related,Phage-related endolysin,NotComplete
2685743|2686171|-|putative_phage_endolysin,Phage-related,Phage-related endolysin,NotComplete
1447997|1448335|-|Phage_endonuclease,Phage-related,Phage-related endonuclease,NotComplete
1839444|1839893|-|phage_protein__endopeptidase_lysis_protein_,Phage-related,Phage-related endopeptidase,NotComplete
1160062|1160505|+|putative_phage_endopeptidase,Phage-related,Phage-related endopeptidase,NotComplete
2757052|2757516|-|putative_phage_endopeptidase,Phage-related,Phage-related endopeptidase,NotComplete
767009|767542|-|enterobacteria_phage_lambda__putative_envelope_protein,Phage-related,Phage-related envelope protein,NotComplete
658714|659475|-|putative_phage_envelope_protein,Phage-related,Phage-related envelope protein,NotComplete
1142349|1142585|-|phage_excisionase,Phage-related,Phage-related excisionase,NotComplete
1784644|1784895|+|phage_excisionase,Phage-related,Phage-related excisionase,NotComplete
2165741|2165977|+|putative_phage_excisionase,Phage-related,Phage-related excisionase,NotComplete
3656276|3656485|+|putative_phage_excisionase,Phage-related,Phage-related excisionase,NotComplete
22477|24702|+|phage_T7_exclusion_protein,Phage-related,Phage-related exclusion protein,T7
1151294|1151596|+|phage_exclusion_protein,Phage-related,Phage-related exclusion protein,NotComplete
1782115|1784574|+|phage_exodeoxyribonuclease,Phage-related,Phage-related exodeoxyribonuclease,NotComplete
1478214|1480814|-|phage_exonuclease_VIII,Phage-related,Phage-related exonuclease,VIII
1143964|1144644|-|phage_exonuclease,Phage-related,Phage-related exonuclease,NotComplete
2466276|2468747|-|putative_exonuclease_from_phage_origin,Phage-related,Phage-related exonuclease,NotComplete
4539657|4540937|+|putative_GTP-ase__together_with_HflCK_possibly_involved_in_phage_lambda_cII_repressor_stability,Phage-related,Phage-related GTP-ase ,HFLCK
1778885|1780195|+|putative_GTP-binding_phage-related_protein,Phage-related,Phage-related GTP-binding protein,NotComplete
1850636|1851109|-|phage_head_completion_protein_GPL,Phage-related,Phage-related head protein,GPL
1945273|1945767|+|phage_head_completion_protein,Phage-related,Phage-related head protein,NotComplete
